DATE,lag_days
2021-12-17,0.5
2021-12-18,2.5
2021-12-19,6.5
2021-12-20,9.0
2021-12-21,9.0
2021-12-22,9.0
2021-12-23,9.0
2021-12-24,8.0
2021-12-25,7.0
2021-12-26,6.0
2021-12-27,5.0
2021-12-28,4.0
2021-12-29,3.0
2021-12-30,2.0
2021-12-31,1.0
2022-01-01,0.0
2022-01-02,-1.0
2022-01-03,-2.0
2022-01-04,-3.0
2022-01-05,-4.0
2022-01-06,-5.0
2022-01-07,-6.0
2022-01-08,-7.0
2022-01-09,-8.0
2022-01-10,-9.0
2022-01-11,-10.0
2022-01-12,-11.0
2022-01-13,-12.0
2022-01-14,-13.0
2022-01-15,-14.0
2022-01-16,-15.0
2022-01-17,-16.0
2022-01-18,-17.0
2022-01-19,-18.0
2022-01-20,-19.0
2022-01-21,-20.0
2022-01-22,-21.0
2022-01-23,-22.0
2022-01-24,-23.0
2022-01-25,-24.0
2022-01-26,-25.0
2022-01-27,-26.0
2022-01-28,-27.0
2022-01-29,-27.0
2022-01-30,-27.0
2022-01-31,-27.0
2022-02-01,-27.0
2022-02-02,-27.0
2022-02-03,-27.0
2022-02-04,-27.0
2022-02-05,-27.0
2022-02-06,-27.0
2022-02-07,-27.0
2022-02-08,-27.0
2022-02-09,-27.0
2022-02-10,-27.0
2022-02-11,-27.0
2022-02-12,-27.0
2022-02-13,-27.0
2022-02-14,-27.0
2022-02-15,-27.0
2022-02-16,-27.0
2022-02-17,-27.0
2022-02-18,-27.0
2022-02-19,-27.0
2022-02-20,-27.0
2022-02-21,-27.0
2022-02-22,-27.0
2022-02-23,-27.0
2022-02-24,-27.0
2022-02-25,-27.0
2022-02-26,-27.0
2022-02-27,-27.0
2022-02-28,-27.0
2022-03-01,-27.0
2022-03-02,-27.0
2022-03-03,-27.0
2022-03-04,-27.0
2022-03-05,-27.0
2022-03-06,-27.0
2022-03-07,-27.0
2022-03-08,-27.0
2022-03-09,-27.0
2022-03-10,-27.0
2022-03-11,-27.0
2022-03-12,-27.0
2022-03-13,-27.0
2022-03-14,-27.0
2022-03-15,-27.0
2022-03-16,-27.0
2022-03-17,-27.0
2022-03-18,-27.0
2022-03-19,-27.0
2022-03-20,-27.0
2022-03-21,-27.0
2022-03-22,-27.0
2022-03-23,-27.0
2022-03-24,-27.0
2022-03-25,-27.0
2022-03-26,-27.0
2022-03-27,-27.0
2022-03-28,-27.0
2022-03-29,-27.0
2022-03-30,-27.0
2022-03-31,-27.0
2022-04-01,-27.0
2022-04-02,-27.0
2022-04-03,-27.0
2022-04-04,-27.0
2022-04-05,-27.0
2022-04-06,-27.0
2022-04-07,-27.0
2022-04-08,-27.0
2022-04-09,-27.0
2022-04-10,-27.0
2022-04-11,-27.0
2022-04-12,-27.0
2022-04-13,-27.0
2022-04-14,-27.0
2022-04-15,-27.0
2022-04-16,-27.0
2022-04-17,-27.0
2022-04-18,-27.0
2022-04-19,-27.0
2022-04-20,-27.0
2022-04-21,-27.0
2022-04-22,-27.0
2022-04-23,-27.0
2022-04-24,-27.0
2022-04-25,-27.0
2022-04-26,-27.0
2022-04-27,-27.0
2022-04-28,-27.0
2022-04-29,-27.0
2022-04-30,-27.0
2022-05-01,0.0
2022-05-02,27.0
2022-05-03,27.0
2022-05-04,27.0
