DATE,lag_days
2021-12-17,3.0
2021-12-18,6.0
2021-12-19,5.0
2021-12-20,4.0
2021-12-21,3.0
2021-12-22,3.0
2021-12-23,2.0
2021-12-24,2.0
2021-12-25,1.0
2021-12-26,0.0
2021-12-27,-1.0
2021-12-28,-2.0
2021-12-29,-3.0
2021-12-30,-4.0
2021-12-31,-5.0
2022-01-01,-6.0
2022-01-02,-7.0
2022-01-03,-8.0
2022-01-04,-9.0
2022-01-05,-10.0
2022-01-06,-11.0
2022-01-07,-12.0
2022-01-08,-13.0
2022-01-09,-14.0
2022-01-10,-15.0
2022-01-11,-16.0
2022-01-12,-17.0
2022-01-13,-18.0
2022-01-14,-19.0
2022-01-15,-20.0
2022-01-16,-21.0
2022-01-17,-22.0
2022-01-18,-23.0
2022-01-19,-24.0
2022-01-20,-25.0
2022-01-21,-26.0
2022-01-22,-27.0
2022-01-23,-28.0
2022-01-24,-29.0
2022-01-25,-30.0
2022-01-26,-31.0
2022-01-27,-32.0
2022-01-28,-33.0
2022-01-29,-34.0
2022-01-30,-34.0
2022-01-31,-34.0
2022-02-01,-34.0
2022-02-02,-34.0
2022-02-03,-34.0
2022-02-04,-34.0
2022-02-05,-34.0
2022-02-06,-34.0
2022-02-07,-34.0
2022-02-08,-34.0
2022-02-09,-34.0
2022-02-10,-34.0
2022-02-11,-34.0
2022-02-12,-34.0
2022-02-13,-34.0
2022-02-14,-34.0
2022-02-15,-34.0
2022-02-16,-34.0
2022-02-17,-34.0
2022-02-18,-34.0
2022-02-19,-34.0
2022-02-20,-34.0
2022-02-21,-34.0
2022-02-22,-34.0
2022-02-23,-34.0
2022-02-24,-34.0
2022-02-25,-34.0
2022-02-26,-34.0
2022-02-27,-34.0
2022-02-28,-34.0
2022-03-01,-34.0
2022-03-02,-34.0
2022-03-03,-34.0
2022-03-04,-34.0
2022-03-05,-34.0
2022-03-06,-34.0
2022-03-07,-34.0
2022-03-08,-34.0
2022-03-09,-34.0
2022-03-10,-34.0
2022-03-11,-34.0
2022-03-12,-34.0
2022-03-13,-34.0
2022-03-14,-34.0
2022-03-15,-34.0
2022-03-16,-34.0
2022-03-17,-34.0
2022-03-18,-34.0
2022-03-19,-34.0
2022-03-20,-34.0
2022-03-21,-34.0
2022-03-22,-34.0
2022-03-23,-34.0
2022-03-24,-34.0
2022-03-25,-34.0
2022-03-26,-34.0
2022-03-27,-34.0
2022-03-28,-34.0
2022-03-29,-34.0
2022-03-30,-34.0
2022-03-31,-34.0
2022-04-01,-34.0
2022-04-02,-34.0
2022-04-03,-34.0
2022-04-04,-34.0
2022-04-05,-24.0
2022-04-06,-14.0
2022-04-07,-14.0
2022-04-08,-14.0
2022-04-09,-14.0
2022-04-10,-14.0
2022-04-11,-14.0
2022-04-12,-14.0
2022-04-13,-14.0
2022-04-14,-15.0
2022-04-15,-16.0
2022-04-16,-17.0
2022-04-17,-18.0
2022-04-18,-19.0
2022-04-19,-20.0
2022-04-20,-21.0
2022-04-21,-22.0
2022-04-22,-23.0
2022-04-23,-24.0
2022-04-24,-25.0
2022-04-25,-26.0
2022-04-26,-27.0
2022-04-27,-28.0
2022-04-28,-29.0
2022-04-29,-30.0
2022-04-30,-31.0
2022-05-01,-32.0
2022-05-02,-33.0
2022-05-03,-34.0
2022-05-04,-34.0
2022-05-05,-34.0
2022-05-06,-34.0
2022-05-07,-34.0
2022-05-08,-34.0
2022-05-09,-34.0
2022-05-10,-34.0
