DATE,lag_days
2021-12-17,0.0
2021-12-18,-1.0
2021-12-19,-2.0
2021-12-20,-3.0
2021-12-21,-4.0
2021-12-22,-5.0
2021-12-23,-6.0
2021-12-24,-7.0
2021-12-25,-8.0
2021-12-26,-8.0
2021-12-27,-9.0
2021-12-28,-10.0
2021-12-29,-11.0
2021-12-30,-12.0
2021-12-31,-13.0
2022-01-01,-14.0
2022-01-02,-15.0
2022-01-03,-16.0
2022-01-04,-17.0
2022-01-05,-17.0
2022-01-06,-17.0
2022-01-07,-17.0
2022-01-08,-18.0
2022-01-09,-19.0
2022-01-10,-18.5
2022-01-11,-17.5
2022-01-12,-1.0
2022-01-13,15.0
2022-01-14,15.0
2022-01-15,14.0
2022-01-16,13.0
2022-01-17,12.0
2022-01-18,11.0
2022-01-19,10.0
2022-01-20,9.0
2022-01-21,8.0
2022-01-22,7.0
2022-01-23,6.0
2022-01-24,5.0
2022-01-25,4.0
2022-01-26,3.0
2022-01-27,2.0
2022-01-28,1.0
2022-01-29,0.0
2022-01-30,-1.0
2022-01-31,-2.0
2022-02-01,-3.0
2022-02-02,-4.0
2022-02-03,-5.0
2022-02-04,-6.0
2022-02-05,-7.0
2022-02-06,-8.0
2022-02-07,-9.0
2022-02-08,-10.0
2022-02-09,-11.0
2022-02-10,-12.0
2022-02-11,-13.0
2022-02-12,-14.0
2022-02-13,-14.0
2022-02-14,-14.0
2022-02-15,-14.0
2022-02-16,-14.0
2022-02-17,-6.0
2022-02-18,2.0
2022-02-19,1.0
2022-02-20,1.0
2022-02-21,1.0
2022-02-22,1.5
2022-02-23,2.0
2022-02-24,1.0
2022-02-25,1.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,-1.0
2022-03-01,-2.0
2022-03-02,-3.0
2022-03-03,-4.0
2022-03-04,-5.0
2022-03-05,-6.0
2022-03-06,-7.0
2022-03-07,-8.0
2022-03-08,-9.0
2022-03-09,-10.0
2022-03-10,-11.0
2022-03-11,-12.0
2022-03-12,-13.0
2022-03-13,-14.0
2022-03-14,-15.0
2022-03-15,-16.0
2022-03-16,-6.5
2022-03-17,3.0
2022-03-18,3.0
2022-03-19,2.0
2022-03-20,1.0
2022-03-21,0.0
2022-03-22,-1.0
2022-03-23,-2.0
2022-03-24,-3.0
2022-03-25,-4.0
2022-03-26,-5.0
2022-03-27,-6.0
2022-03-28,-7.0
2022-03-29,-8.0
2022-03-30,-9.0
2022-03-31,-10.0
2022-04-01,-11.0
2022-04-02,-12.0
2022-04-03,-13.0
2022-04-04,-14.0
2022-04-05,-15.0
2022-04-06,-16.0
2022-04-07,-17.0
2022-04-08,-18.0
2022-04-09,-19.0
2022-04-10,-20.0
2022-04-11,-20.0
2022-04-12,-20.0
2022-04-13,-20.0
2022-04-14,-20.0
2022-04-15,-20.0
2022-04-16,-16.0
2022-04-17,-12.0
2022-04-18,-12.0
2022-04-19,-12.0
2022-04-20,-12.0
2022-04-21,-13.0
2022-04-22,-14.0
2022-04-23,-14.0
2022-04-24,-15.0
2022-04-25,-16.0
2022-04-26,-9.0
2022-04-27,-2.0
2022-04-28,-3.0
2022-04-29,-3.0
2022-04-30,-4.0
2022-05-01,-5.0
2022-05-02,-6.0
2022-05-03,-7.0
2022-05-04,-4.5
2022-05-05,-2.0
2022-05-06,-3.0
2022-05-07,-4.0
2022-05-08,-5.0
2022-05-09,-6.0
2022-05-10,-7.0
2022-05-11,-8.0
2022-05-12,-9.0
2022-05-13,-9.0
2022-05-14,-10.0
2022-05-15,-11.0
2022-05-16,-12.0
2022-05-17,-13.0
2022-05-18,-14.0
2022-05-19,-15.0
2022-05-20,-16.0
2022-05-21,-17.0
2022-05-22,-18.0
2022-05-23,-18.0
2022-05-24,-16.5
2022-05-25,-15.0
2022-05-26,-16.0
2022-05-27,-17.0
2022-05-28,-17.0
2022-05-29,-11.0
2022-05-30,-5.0
2022-05-31,-6.0
2022-06-01,-7.0
2022-06-02,-7.0
2022-06-03,-8.0
2022-06-04,-9.0
2022-06-05,-9.0
2022-06-06,-6.5
2022-06-07,-4.0
2022-06-08,-4.0
2022-06-09,-5.0
2022-06-10,-5.0
2022-06-11,-0.5
2022-06-12,4.0
2022-06-13,4.0
2022-06-14,3.0
2022-06-15,2.0
2022-06-16,1.0
2022-06-17,0.0
2022-06-18,-1.0
2022-06-19,-1.0
2022-06-20,-1.0
2022-06-21,0.0
2022-06-22,1.5
2022-06-23,3.5
2022-06-24,6.0
2022-06-25,7.5
2022-06-26,11.0
2022-06-27,14.0
2022-06-28,13.0
2022-06-29,12.0
2022-06-30,11.0
2022-07-01,11.0
2022-07-02,13.5
2022-07-03,16.0
2022-07-04,16.0
2022-07-05,15.0
2022-07-06,14.0
2022-07-07,13.0
2022-07-08,12.0
2022-07-09,12.0
2022-07-10,11.0
2022-07-11,10.0
2022-07-12,9.0
2022-07-13,8.0
2022-07-14,7.0
2022-07-15,6.0
2022-07-16,5.0
2022-07-17,4.0
2022-07-18,4.0
2022-07-19,4.0
2022-07-20,4.0
2022-07-21,4.0
2022-07-22,4.0
2022-07-23,4.0
2022-07-24,3.0
2022-07-25,3.0
2022-07-26,3.0
2022-07-27,4.0
2022-07-28,5.0
2022-07-29,4.0
2022-07-30,4.0
2022-07-31,3.0
2022-08-01,3.0
2022-08-02,3.5
2022-08-03,4.0
2022-08-04,3.0
2022-08-05,3.0
2022-08-06,3.0
2022-08-07,2.0
2022-08-08,1.0
2022-08-09,0.0
2022-08-10,-1.0
2022-08-11,-2.0
2022-08-12,-3.0
2022-08-13,-4.0
2022-08-14,-5.0
2022-08-15,-6.0
2022-08-16,-7.0
2022-08-17,-8.0
2022-08-18,-9.0
2022-08-19,-10.0
2022-08-20,-11.0
2022-08-21,-11.0
2022-08-22,-12.0
2022-08-23,-13.0
2022-08-24,-13.0
2022-08-25,-13.0
2022-08-26,-14.0
2022-08-27,-14.0
2022-08-28,-15.0
2022-08-29,-16.0
2022-08-30,-17.0
2022-08-31,-18.0
2022-09-01,-19.0
2022-09-02,-20.0
2022-09-03,-20.0
2022-09-04,-20.0
2022-09-05,-20.0
2022-09-06,-13.5
2022-09-07,-7.0
2022-09-08,-7.0
2022-09-09,-7.0
2022-09-10,-8.0
2022-09-11,-9.0
2022-09-12,-9.0
2022-09-13,-5.0
2022-09-14,-1.0
2022-09-15,-2.0
2022-09-16,-2.0
2022-09-17,-3.0
2022-09-18,-4.0
2022-09-19,-5.0
2022-09-20,-6.0
2022-09-21,-7.0
2022-09-22,-8.0
