i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
1,1,0,2020-01-23
2,2,0,2020-01-24
2,3,1,2020-01-24
3,4,1,2020-01-25
4,5,1,2020-01-26
5,5,0,2020-01-27
6,5,-1,2020-01-28
7,5,-2,2020-01-29
8,5,-3,2020-01-30
9,6,-3,2020-01-31
10,7,-3,2020-02-01
11,8,-3,2020-02-02
12,9,-3,2020-02-03
13,10,-3,2020-02-04
14,11,-3,2020-02-05
15,11,-4,2020-02-06
16,11,-5,2020-02-07
17,11,-6,2020-02-08
18,11,-7,2020-02-09
19,11,-8,2020-02-10
20,11,-9,2020-02-11
21,11,-10,2020-02-12
22,11,-11,2020-02-13
23,11,-12,2020-02-14
24,11,-13,2020-02-15
25,11,-14,2020-02-16
26,11,-15,2020-02-17
27,11,-16,2020-02-18
28,11,-17,2020-02-19
29,11,-18,2020-02-20
30,11,-19,2020-02-21
31,11,-20,2020-02-22
32,12,-20,2020-02-23
33,13,-20,2020-02-24
34,14,-20,2020-02-25
35,15,-20,2020-02-26
36,16,-20,2020-02-27
37,17,-20,2020-02-28
38,18,-20,2020-02-29
39,19,-20,2020-03-01
40,20,-20,2020-03-02
41,21,-20,2020-03-03
42,22,-20,2020-03-04
43,23,-20,2020-03-05
44,24,-20,2020-03-06
45,25,-20,2020-03-07
46,26,-20,2020-03-08
47,27,-20,2020-03-09
48,28,-20,2020-03-10
49,29,-20,2020-03-11
50,30,-20,2020-03-12
51,31,-20,2020-03-13
52,32,-20,2020-03-14
53,33,-20,2020-03-15
54,34,-20,2020-03-16
55,35,-20,2020-03-17
56,36,-20,2020-03-18
57,37,-20,2020-03-19
58,38,-20,2020-03-20
59,39,-20,2020-03-21
60,40,-20,2020-03-22
61,41,-20,2020-03-23
62,42,-20,2020-03-24
63,43,-20,2020-03-25
64,44,-20,2020-03-26
65,45,-20,2020-03-27
66,46,-20,2020-03-28
67,47,-20,2020-03-29
68,48,-20,2020-03-30
69,49,-20,2020-03-31
70,50,-20,2020-04-01
71,51,-20,2020-04-02
72,52,-20,2020-04-03
73,53,-20,2020-04-04
74,54,-20,2020-04-05
74,55,-19,2020-04-05
74,56,-18,2020-04-05
74,57,-17,2020-04-05
74,58,-16,2020-04-05
74,59,-15,2020-04-05
74,60,-14,2020-04-05
74,61,-13,2020-04-05
75,62,-13,2020-04-06
76,63,-13,2020-04-07
77,64,-13,2020-04-08
78,65,-13,2020-04-09
79,66,-13,2020-04-10
79,67,-12,2020-04-10
79,68,-11,2020-04-10
79,69,-10,2020-04-10
79,70,-9,2020-04-10
79,71,-8,2020-04-10
79,72,-7,2020-04-10
80,73,-7,2020-04-11
81,74,-7,2020-04-12
82,75,-7,2020-04-13
83,75,-8,2020-04-14
84,75,-9,2020-04-15
85,76,-9,2020-04-16
86,76,-10,2020-04-17
87,76,-11,2020-04-18
88,76,-12,2020-04-19
89,77,-12,2020-04-20
89,78,-11,2020-04-20
89,79,-10,2020-04-20
89,80,-9,2020-04-20
89,81,-8,2020-04-20
90,82,-8,2020-04-21
91,83,-8,2020-04-22
92,84,-8,2020-04-23
93,84,-9,2020-04-24
94,84,-10,2020-04-25
95,84,-11,2020-04-26
96,84,-12,2020-04-27
97,84,-13,2020-04-28
98,84,-14,2020-04-29
99,84,-15,2020-04-30
100,85,-15,2020-05-01
101,86,-15,2020-05-02
102,87,-15,2020-05-03
102,88,-14,2020-05-03
102,89,-13,2020-05-03
103,90,-13,2020-05-04
104,91,-13,2020-05-05
105,92,-13,2020-05-06
106,93,-13,2020-05-07
107,94,-13,2020-05-08
108,95,-13,2020-05-09
109,96,-13,2020-05-10
110,96,-14,2020-05-11
111,96,-15,2020-05-12
112,96,-16,2020-05-13
113,96,-17,2020-05-14
114,97,-17,2020-05-15
114,98,-16,2020-05-15
114,99,-15,2020-05-15
114,100,-14,2020-05-15
114,101,-13,2020-05-15
114,102,-12,2020-05-15
114,103,-11,2020-05-15
114,104,-10,2020-05-15
115,105,-10,2020-05-16
116,105,-11,2020-05-17
117,105,-12,2020-05-18
118,106,-12,2020-05-19
119,107,-12,2020-05-20
119,108,-11,2020-05-20
119,109,-10,2020-05-20
119,110,-9,2020-05-20
119,111,-8,2020-05-20
119,112,-7,2020-05-20
119,113,-6,2020-05-20
119,114,-5,2020-05-20
119,115,-4,2020-05-20
120,116,-4,2020-05-21
121,117,-4,2020-05-22
122,117,-5,2020-05-23
123,117,-6,2020-05-24
124,118,-6,2020-05-25
125,119,-6,2020-05-26
125,120,-5,2020-05-26
125,121,-4,2020-05-26
125,122,-3,2020-05-26
125,123,-2,2020-05-26
125,124,-1,2020-05-26
125,125,0,2020-05-26
125,126,1,2020-05-26
125,127,2,2020-05-26
125,128,3,2020-05-26
125,129,4,2020-05-26
125,130,5,2020-05-26
125,131,6,2020-05-26
125,132,7,2020-05-26
125,133,8,2020-05-26
125,134,9,2020-05-26
125,135,10,2020-05-26
125,136,11,2020-05-26
125,137,12,2020-05-26
125,138,13,2020-05-26
125,139,14,2020-05-26
125,140,15,2020-05-26
125,141,16,2020-05-26
125,142,17,2020-05-26
126,143,17,2020-05-27
127,144,17,2020-05-28
128,144,16,2020-05-29
129,144,15,2020-05-30
130,144,14,2020-05-31
131,144,13,2020-06-01
132,144,12,2020-06-02
133,144,11,2020-06-03
134,144,10,2020-06-04
