DATE,lag_days
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,6.5
2021-12-25,13.0
2021-12-26,13.0
2021-12-27,13.0
2021-12-28,13.0
2021-12-29,13.0
2021-12-30,13.0
2021-12-31,13.0
2022-01-01,13.0
2022-01-02,13.0
2022-01-03,13.0
2022-01-04,13.0
2022-01-05,13.0
2022-01-06,13.0
2022-01-07,13.0
2022-01-08,12.0
2022-01-09,11.0
2022-01-10,10.0
2022-01-11,9.0
2022-01-12,8.0
2022-01-13,7.0
2022-01-14,6.0
2022-01-15,5.0
2022-01-16,4.0
2022-01-17,3.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,2.0
2022-01-23,2.0
2022-01-24,2.0
2022-01-25,2.0
2022-01-26,2.0
2022-01-27,2.0
2022-01-28,2.0
2022-01-29,2.0
2022-01-30,2.0
2022-01-31,7.5
2022-02-01,13.0
2022-02-02,13.0
2022-02-03,13.0
2022-02-04,13.0
2022-02-05,13.0
2022-02-06,13.0
2022-02-07,13.0
2022-02-08,13.0
2022-02-09,13.0
2022-02-10,13.0
2022-02-11,13.0
2022-02-12,13.0
2022-02-13,13.0
2022-02-14,13.0
2022-02-15,13.0
2022-02-16,13.0
2022-02-17,13.0
2022-02-18,13.0
2022-02-19,13.0
2022-02-20,13.0
2022-02-21,13.0
2022-02-22,13.0
2022-02-23,13.0
2022-02-24,13.0
2022-02-25,13.0
2022-02-26,13.0
2022-02-27,13.0
2022-02-28,13.0
2022-03-01,13.0
2022-03-02,13.0
2022-03-03,13.0
2022-03-04,13.0
2022-03-05,13.0
2022-03-06,13.0
2022-03-07,13.0
2022-03-08,12.0
2022-03-09,12.0
2022-03-10,11.0
2022-03-11,10.0
2022-03-12,9.0
2022-03-13,8.0
2022-03-14,7.0
2022-03-15,6.0
2022-03-16,5.0
2022-03-17,4.0
2022-03-18,3.0
2022-03-19,2.0
2022-03-20,1.0
2022-03-21,1.0
2022-03-22,1.0
2022-03-23,5.5
2022-03-24,10.0
2022-03-25,10.0
2022-03-26,10.0
2022-03-27,9.0
2022-03-28,8.0
2022-03-29,7.0
2022-03-30,6.0
2022-03-31,5.0
2022-04-01,4.0
2022-04-02,3.0
2022-04-03,2.0
2022-04-04,1.0
2022-04-05,0.0
2022-04-06,-1.0
2022-04-07,-2.0
2022-04-08,-3.0
2022-04-09,-3.0
2022-04-10,5.0
2022-04-11,13.0
2022-04-12,13.0
2022-04-13,13.0
2022-04-14,13.0
2022-04-15,13.0
2022-04-16,13.0
2022-04-17,13.0
2022-04-18,13.0
2022-04-19,13.0
2022-04-20,13.0
2022-04-21,13.0
2022-04-22,13.0
2022-04-23,13.0
2022-04-24,13.0
2022-04-25,13.0
2022-04-26,12.0
2022-04-27,11.0
2022-04-28,10.0
2022-04-29,9.0
2022-04-30,8.0
2022-05-01,7.0
2022-05-02,6.0
2022-05-03,5.0
2022-05-04,4.0
2022-05-05,3.0
2022-05-06,2.0
2022-05-07,1.0
2022-05-08,0.0
2022-05-09,-1.0
2022-05-10,-2.0
2022-05-11,-3.0
2022-05-12,-4.0
2022-05-13,-5.0
2022-05-14,-6.0
2022-05-15,-7.0
2022-05-16,-7.0
2022-05-17,-7.0
2022-05-18,-7.0
2022-05-19,-8.0
2022-05-20,-9.0
2022-05-21,-10.0
2022-05-22,-10.0
2022-05-23,-11.0
2022-05-24,-12.0
2022-05-25,-12.0
2022-05-26,-13.0
2022-05-27,-13.0
2022-05-28,-13.0
2022-05-29,-13.0
2022-05-30,-13.0
2022-05-31,-13.0
2022-06-01,-13.0
2022-06-02,-13.0
2022-06-03,-13.0
2022-06-04,-13.0
2022-06-05,-13.0
2022-06-06,-13.0
2022-06-07,-13.0
2022-06-08,-13.0
2022-06-09,-13.0
2022-06-10,-13.0
2022-06-11,-13.0
2022-06-12,-13.0
2022-06-13,-13.0
2022-06-14,-9.5
2022-06-15,-6.0
2022-06-16,-6.0
2022-06-17,-7.0
2022-06-18,-8.0
2022-06-19,-9.0
2022-06-20,-9.0
2022-06-21,-10.0
2022-06-22,-11.0
2022-06-23,-12.0
2022-06-24,-12.0
2022-06-25,-13.0
2022-06-26,-13.0
2022-06-27,-13.0
2022-06-28,-13.0
2022-06-29,-13.0
2022-06-30,-13.0
2022-07-01,-13.0
2022-07-02,-13.0
2022-07-03,-13.0
2022-07-04,-13.0
2022-07-05,-13.0
2022-07-06,-13.0
2022-07-07,-13.0
2022-07-08,-13.0
2022-07-09,-13.0
2022-07-10,-13.0
