i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
1,1,0,2020-01-23
2,2,0,2020-01-24
3,3,0,2020-01-25
4,4,0,2020-01-26
5,5,0,2020-01-27
6,6,0,2020-01-28
7,7,0,2020-01-29
8,8,0,2020-01-30
9,9,0,2020-01-31
10,10,0,2020-02-01
11,11,0,2020-02-02
12,12,0,2020-02-03
13,13,0,2020-02-04
14,14,0,2020-02-05
15,15,0,2020-02-06
16,16,0,2020-02-07
17,17,0,2020-02-08
18,18,0,2020-02-09
19,19,0,2020-02-10
20,20,0,2020-02-11
20,21,1,2020-02-11
20,22,2,2020-02-11
20,23,3,2020-02-11
20,24,4,2020-02-11
20,25,5,2020-02-11
20,26,6,2020-02-11
21,27,6,2020-02-12
22,28,6,2020-02-13
23,29,6,2020-02-14
24,30,6,2020-02-15
25,31,6,2020-02-16
26,32,6,2020-02-17
27,33,6,2020-02-18
28,34,6,2020-02-19
29,35,6,2020-02-20
30,36,6,2020-02-21
31,37,6,2020-02-22
32,38,6,2020-02-23
33,39,6,2020-02-24
34,40,6,2020-02-25
35,41,6,2020-02-26
36,42,6,2020-02-27
37,43,6,2020-02-28
38,44,6,2020-02-29
39,45,6,2020-03-01
40,46,6,2020-03-02
41,47,6,2020-03-03
42,48,6,2020-03-04
43,49,6,2020-03-05
44,50,6,2020-03-06
45,51,6,2020-03-07
46,52,6,2020-03-08
47,53,6,2020-03-09
48,54,6,2020-03-10
49,55,6,2020-03-11
50,56,6,2020-03-12
51,57,6,2020-03-13
52,58,6,2020-03-14
53,59,6,2020-03-15
54,60,6,2020-03-16
55,61,6,2020-03-17
56,62,6,2020-03-18
57,63,6,2020-03-19
58,64,6,2020-03-20
59,65,6,2020-03-21
60,66,6,2020-03-22
61,67,6,2020-03-23
62,68,6,2020-03-24
63,69,6,2020-03-25
64,70,6,2020-03-26
65,71,6,2020-03-27
66,72,6,2020-03-28
67,73,6,2020-03-29
68,74,6,2020-03-30
69,75,6,2020-03-31
70,76,6,2020-04-01
71,77,6,2020-04-02
72,78,6,2020-04-03
73,79,6,2020-04-04
74,80,6,2020-04-05
75,81,6,2020-04-06
76,82,6,2020-04-07
77,83,6,2020-04-08
78,84,6,2020-04-09
79,85,6,2020-04-10
80,86,6,2020-04-11
81,87,6,2020-04-12
82,88,6,2020-04-13
83,89,6,2020-04-14
84,90,6,2020-04-15
85,91,6,2020-04-16
86,92,6,2020-04-17
87,93,6,2020-04-18
88,94,6,2020-04-19
89,95,6,2020-04-20
90,96,6,2020-04-21
91,97,6,2020-04-22
92,98,6,2020-04-23
93,99,6,2020-04-24
94,100,6,2020-04-25
95,101,6,2020-04-26
96,102,6,2020-04-27
97,103,6,2020-04-28
98,104,6,2020-04-29
99,105,6,2020-04-30
100,106,6,2020-05-01
101,107,6,2020-05-02
102,108,6,2020-05-03
103,109,6,2020-05-04
104,110,6,2020-05-05
105,111,6,2020-05-06
106,112,6,2020-05-07
107,113,6,2020-05-08
108,114,6,2020-05-09
109,115,6,2020-05-10
110,116,6,2020-05-11
111,117,6,2020-05-12
112,118,6,2020-05-13
113,119,6,2020-05-14
114,120,6,2020-05-15
115,121,6,2020-05-16
116,122,6,2020-05-17
117,123,6,2020-05-18
118,124,6,2020-05-19
119,125,6,2020-05-20
120,126,6,2020-05-21
121,127,6,2020-05-22
122,128,6,2020-05-23
123,129,6,2020-05-24
124,130,6,2020-05-25
125,131,6,2020-05-26
126,132,6,2020-05-27
127,133,6,2020-05-28
128,134,6,2020-05-29
129,135,6,2020-05-30
130,136,6,2020-05-31
131,137,6,2020-06-01
132,138,6,2020-06-02
133,139,6,2020-06-03
134,140,6,2020-06-04
135,141,6,2020-06-05
136,142,6,2020-06-06
137,143,6,2020-06-07
138,144,6,2020-06-08
139,145,6,2020-06-09
140,146,6,2020-06-10
141,147,6,2020-06-11
142,148,6,2020-06-12
143,149,6,2020-06-13
143,150,7,2020-06-13
143,151,8,2020-06-13
143,152,9,2020-06-13
143,153,10,2020-06-13
143,154,11,2020-06-13
143,155,12,2020-06-13
143,156,13,2020-06-13
144,157,13,2020-06-14
145,158,13,2020-06-15
146,159,13,2020-06-16
147,160,13,2020-06-17
148,161,13,2020-06-18
149,162,13,2020-06-19
150,163,13,2020-06-20
151,164,13,2020-06-21
152,165,13,2020-06-22
153,166,13,2020-06-23
154,167,13,2020-06-24
155,168,13,2020-06-25
156,169,13,2020-06-26
157,170,13,2020-06-27
158,171,13,2020-06-28
159,171,12,2020-06-29
160,171,11,2020-06-30
161,171,10,2020-07-01
162,171,9,2020-07-02
163,171,8,2020-07-03
164,171,7,2020-07-04
165,171,6,2020-07-05
166,171,5,2020-07-06
167,171,4,2020-07-07
168,171,3,2020-07-08
169,171,2,2020-07-09
170,171,1,2020-07-10
171,171,0,2020-07-11
172,171,-1,2020-07-12
173,171,-2,2020-07-13
174,171,-3,2020-07-14
175,171,-4,2020-07-15
176,171,-5,2020-07-16
177,171,-6,2020-07-17
178,171,-7,2020-07-18
179,171,-8,2020-07-19
180,171,-9,2020-07-20
181,171,-10,2020-07-21
182,171,-11,2020-07-22
183,171,-12,2020-07-23
184,171,-13,2020-07-24
185,171,-14,2020-07-25
186,171,-15,2020-07-26
187,171,-16,2020-07-27
188,171,-17,2020-07-28
189,172,-17,2020-07-29
190,173,-17,2020-07-30
