i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,0,-3,2021-12-20
4,0,-4,2021-12-21
5,0,-5,2021-12-22
6,0,-6,2021-12-23
7,0,-7,2021-12-24
8,0,-8,2021-12-25
9,0,-9,2021-12-26
10,0,-10,2021-12-27
11,0,-11,2021-12-28
12,0,-12,2021-12-29
13,0,-13,2021-12-30
14,0,-14,2021-12-31
15,1,-14,2022-01-01
15,2,-13,2022-01-01
15,3,-12,2022-01-01
15,4,-11,2022-01-01
16,5,-11,2022-01-02
17,6,-11,2022-01-03
18,7,-11,2022-01-04
19,7,-12,2022-01-05
20,7,-13,2022-01-06
21,7,-14,2022-01-07
22,7,-15,2022-01-08
23,7,-16,2022-01-09
24,7,-17,2022-01-10
25,7,-18,2022-01-11
26,7,-19,2022-01-12
27,7,-20,2022-01-13
28,7,-21,2022-01-14
29,7,-22,2022-01-15
30,7,-23,2022-01-16
31,7,-24,2022-01-17
32,7,-25,2022-01-18
33,7,-26,2022-01-19
34,7,-27,2022-01-20
35,8,-27,2022-01-21
36,9,-27,2022-01-22
37,10,-27,2022-01-23
38,11,-27,2022-01-24
39,12,-27,2022-01-25
40,13,-27,2022-01-26
41,14,-27,2022-01-27
42,15,-27,2022-01-28
43,16,-27,2022-01-29
44,17,-27,2022-01-30
45,18,-27,2022-01-31
46,19,-27,2022-02-01
47,20,-27,2022-02-02
48,21,-27,2022-02-03
49,22,-27,2022-02-04
50,23,-27,2022-02-05
51,24,-27,2022-02-06
52,25,-27,2022-02-07
53,26,-27,2022-02-08
54,27,-27,2022-02-09
55,28,-27,2022-02-10
56,29,-27,2022-02-11
57,30,-27,2022-02-12
58,31,-27,2022-02-13
59,32,-27,2022-02-14
60,33,-27,2022-02-15
61,34,-27,2022-02-16
62,35,-27,2022-02-17
63,36,-27,2022-02-18
64,37,-27,2022-02-19
65,38,-27,2022-02-20
66,39,-27,2022-02-21
67,40,-27,2022-02-22
68,41,-27,2022-02-23
69,42,-27,2022-02-24
70,43,-27,2022-02-25
71,44,-27,2022-02-26
72,45,-27,2022-02-27
73,46,-27,2022-02-28
74,47,-27,2022-03-01
75,48,-27,2022-03-02
76,49,-27,2022-03-03
77,50,-27,2022-03-04
78,51,-27,2022-03-05
79,52,-27,2022-03-06
80,53,-27,2022-03-07
81,54,-27,2022-03-08
82,55,-27,2022-03-09
83,56,-27,2022-03-10
84,57,-27,2022-03-11
85,58,-27,2022-03-12
86,59,-27,2022-03-13
87,60,-27,2022-03-14
88,61,-27,2022-03-15
89,62,-27,2022-03-16
90,63,-27,2022-03-17
91,64,-27,2022-03-18
92,65,-27,2022-03-19
93,66,-27,2022-03-20
94,67,-27,2022-03-21
95,68,-27,2022-03-22
96,69,-27,2022-03-23
97,70,-27,2022-03-24
98,71,-27,2022-03-25
99,72,-27,2022-03-26
100,73,-27,2022-03-27
101,74,-27,2022-03-28
102,75,-27,2022-03-29
103,76,-27,2022-03-30
104,77,-27,2022-03-31
105,78,-27,2022-04-01
106,79,-27,2022-04-02
107,80,-27,2022-04-03
108,81,-27,2022-04-04
109,82,-27,2022-04-05
110,83,-27,2022-04-06
111,84,-27,2022-04-07
112,85,-27,2022-04-08
113,86,-27,2022-04-09
114,87,-27,2022-04-10
114,88,-26,2022-04-10
114,89,-25,2022-04-10
114,90,-24,2022-04-10
114,91,-23,2022-04-10
114,92,-22,2022-04-10
114,93,-21,2022-04-10
114,94,-20,2022-04-10
114,95,-19,2022-04-10
114,96,-18,2022-04-10
114,97,-17,2022-04-10
114,98,-16,2022-04-10
114,99,-15,2022-04-10
114,100,-14,2022-04-10
114,101,-13,2022-04-10
114,102,-12,2022-04-10
114,103,-11,2022-04-10
114,104,-10,2022-04-10
114,105,-9,2022-04-10
114,106,-8,2022-04-10
114,107,-7,2022-04-10
114,108,-6,2022-04-10
114,109,-5,2022-04-10
114,110,-4,2022-04-10
114,111,-3,2022-04-10
114,112,-2,2022-04-10
114,113,-1,2022-04-10
114,114,0,2022-04-10
114,115,1,2022-04-10
114,116,2,2022-04-10
114,117,3,2022-04-10
114,118,4,2022-04-10
114,119,5,2022-04-10
114,120,6,2022-04-10
114,121,7,2022-04-10
114,122,8,2022-04-10
114,123,9,2022-04-10
114,124,10,2022-04-10
114,125,11,2022-04-10
114,126,12,2022-04-10
114,127,13,2022-04-10
114,128,14,2022-04-10
114,129,15,2022-04-10
114,130,16,2022-04-10
114,131,17,2022-04-10
114,132,18,2022-04-10
114,133,19,2022-04-10
114,134,20,2022-04-10
114,135,21,2022-04-10
114,136,22,2022-04-10
114,137,23,2022-04-10
114,138,24,2022-04-10
114,139,25,2022-04-10
114,140,26,2022-04-10
114,141,27,2022-04-10
115,142,27,2022-04-11
116,143,27,2022-04-12
117,144,27,2022-04-13
