DATE,lag_days
2020-01-22,17.0
2020-01-23,34.0
2020-01-24,34.0
2020-01-25,34.0
2020-01-26,34.0
2020-01-27,34.0
2020-01-28,34.0
2020-01-29,34.0
2020-01-30,34.0
2020-01-31,34.0
2020-02-01,34.0
2020-02-02,34.0
2020-02-03,34.0
2020-02-04,34.0
2020-02-05,34.0
2020-02-06,34.0
2020-02-07,34.0
2020-02-08,34.0
2020-02-09,34.0
2020-02-10,34.0
2020-02-11,34.0
2020-02-12,34.0
2020-02-13,34.0
2020-02-14,34.0
2020-02-15,34.0
2020-02-16,34.0
2020-02-17,34.0
2020-02-18,34.0
2020-02-19,34.0
2020-02-20,34.0
2020-02-21,34.0
2020-02-22,34.0
2020-02-23,34.0
2020-02-24,34.0
2020-02-25,34.0
2020-02-26,34.0
2020-02-27,34.0
2020-02-28,34.0
2020-02-29,34.0
2020-03-01,34.0
2020-03-02,34.0
2020-03-03,34.0
2020-03-04,34.0
2020-03-05,34.0
2020-03-06,34.0
2020-03-07,34.0
2020-03-08,34.0
2020-03-09,34.0
2020-03-10,34.0
2020-03-11,34.0
2020-03-12,34.0
2020-03-13,34.0
2020-03-14,34.0
2020-03-15,34.0
2020-03-16,34.0
2020-03-17,34.0
2020-03-18,34.0
2020-03-19,34.0
2020-03-20,34.0
2020-03-21,34.0
2020-03-22,34.0
2020-03-23,34.0
2020-03-24,34.0
2020-03-25,34.0
2020-03-26,34.0
2020-03-27,34.0
2020-03-28,34.0
2020-03-29,34.0
2020-03-30,34.0
2020-03-31,34.0
2020-04-01,34.0
2020-04-02,34.0
2020-04-03,34.0
2020-04-04,34.0
2020-04-05,34.0
2020-04-06,34.0
2020-04-07,34.0
2020-04-08,34.0
2020-04-09,34.0
2020-04-10,34.0
2020-04-11,34.0
2020-04-12,34.0
2020-04-13,34.0
2020-04-14,34.0
2020-04-15,34.0
2020-04-16,34.0
2020-04-17,34.0
2020-04-18,33.0
2020-04-19,32.0
2020-04-20,31.0
2020-04-21,30.0
2020-04-22,29.0
2020-04-23,28.0
2020-04-24,27.0
2020-04-25,26.0
2020-04-26,25.0
2020-04-27,24.0
2020-04-28,23.0
2020-04-29,22.0
2020-04-30,21.0
2020-05-01,20.0
2020-05-02,19.0
2020-05-03,18.0
2020-05-04,17.0
2020-05-05,16.0
2020-05-06,15.0
2020-05-07,14.0
2020-05-08,13.0
2020-05-09,12.0
2020-05-10,11.0
2020-05-11,10.0
2020-05-12,9.0
2020-05-13,8.0
2020-05-14,7.0
2020-05-15,6.0
2020-05-16,5.0
2020-05-17,4.0
2020-05-18,3.0
2020-05-19,2.0
2020-05-20,1.0
2020-05-21,0.0
2020-05-22,-1.0
2020-05-23,-2.0
2020-05-24,-3.0
2020-05-25,-4.0
2020-05-26,-5.0
2020-05-27,-6.0
2020-05-28,-7.0
2020-05-29,-8.0
2020-05-30,-9.0
2020-05-31,-10.0
2020-06-01,-11.0
2020-06-02,-12.0
2020-06-03,-13.0
2020-06-04,-14.0
2020-06-05,-15.0
2020-06-06,-16.0
2020-06-07,-17.0
2020-06-08,-18.0
2020-06-09,-19.0
2020-06-10,-20.0
2020-06-11,-21.0
2020-06-12,-22.0
2020-06-13,-23.0
2020-06-14,-24.0
2020-06-15,-25.0
2020-06-16,-26.0
2020-06-17,-27.0
2020-06-18,-28.0
2020-06-19,-29.0
2020-06-20,-30.0
2020-06-21,-31.0
2020-06-22,-32.0
2020-06-23,-33.0
2020-06-24,-34.0
2020-06-25,-34.0
2020-06-26,-34.0
2020-06-27,-34.0
2020-06-28,-34.0
2020-06-29,-34.0
2020-06-30,-34.0
2020-07-01,-34.0
2020-07-02,-34.0
2020-07-03,-34.0
2020-07-04,-34.0
2020-07-05,-34.0
2020-07-06,-34.0
2020-07-07,-34.0
2020-07-08,-34.0
2020-07-09,-34.0
2020-07-10,-34.0
2020-07-11,-34.0
2020-07-12,-34.0
2020-07-13,-34.0
2020-07-14,-34.0
2020-07-15,-34.0
2020-07-16,-34.0
2020-07-17,-34.0
2020-07-18,-32.5
2020-07-19,-31.0
2020-07-20,-31.0
2020-07-21,-31.0
2020-07-22,-31.0
2020-07-23,-31.0
2020-07-24,-32.0
2020-07-25,-33.0
2020-07-26,-34.0
2020-07-27,-34.0
2020-07-28,-34.0
2020-07-29,-34.0
2020-07-30,-34.0
2020-07-31,-34.0
2020-08-01,-34.0
2020-08-02,-34.0
2020-08-03,-34.0
2020-08-04,-34.0
2020-08-05,-34.0
2020-08-06,-34.0
2020-08-07,-34.0
2020-08-08,-34.0
2020-08-09,-34.0
2020-08-10,-34.0
2020-08-11,-34.0
2020-08-12,-34.0
2020-08-13,-34.0
2020-08-14,-34.0
2020-08-15,-34.0
2020-08-16,-34.0
2020-08-17,-34.0
2020-08-18,-34.0
2020-08-19,-34.0
2020-08-20,-34.0
2020-08-21,-34.0
2020-08-22,-34.0
2020-08-23,-34.0
2020-08-24,-34.0
2020-08-25,-34.0
2020-08-26,-34.0
2020-08-27,-34.0
2020-08-28,-34.0
2020-08-29,-34.0
2020-08-30,-34.0
2020-08-31,-34.0
2020-09-01,-34.0
2020-09-02,-34.0
2020-09-03,-34.0
2020-09-04,-34.0
2020-09-05,-34.0
2020-09-06,-34.0
2020-09-07,-34.0
2020-09-08,-34.0
2020-09-09,-34.0
2020-09-10,-34.0
2020-09-11,-34.0
2020-09-12,-34.0
2020-09-13,-34.0
2020-09-14,-34.0
2020-09-15,-34.0
2020-09-16,-34.0
2020-09-17,-34.0
2020-09-18,-34.0
2020-09-19,-34.0
2020-09-20,-34.0
2020-09-21,-34.0
2020-09-22,-34.0
2020-09-23,-34.0
2020-09-24,-34.0
2020-09-25,-34.0
2020-09-26,-34.0
2020-09-27,-34.0
2020-09-28,-34.0
2020-09-29,-34.0
2020-09-30,-34.0
2020-10-01,-34.0
2020-10-02,-34.0
2020-10-03,-34.0
2020-10-04,-34.0
2020-10-05,-34.0
2020-10-06,-34.0
2020-10-07,-34.0
2020-10-08,-34.0
2020-10-09,-34.0
2020-10-10,-34.0
2020-10-11,-34.0
2020-10-12,-34.0
2020-10-13,-34.0
2020-10-14,-34.0
2020-10-15,-34.0
2020-10-16,-34.0
2020-10-17,-34.0
2020-10-18,-34.0
2020-10-19,-34.0
2020-10-20,-34.0
2020-10-21,-34.0
2020-10-22,-34.0
2020-10-23,-34.0
2020-10-24,-34.0
2020-10-25,-34.0
2020-10-26,-34.0
2020-10-27,-34.0
2020-10-28,-34.0
2020-10-29,-34.0
2020-10-30,-34.0
2020-10-31,-34.0
2020-11-01,-34.0
2020-11-02,-34.0
2020-11-03,-34.0
2020-11-04,-34.0
2020-11-05,-34.0
2020-11-06,-34.0
2020-11-07,-34.0
2020-11-08,-34.0
2020-11-09,-34.0
2020-11-10,-34.0
2020-11-11,-34.0
2020-11-12,-34.0
2020-11-13,-34.0
2020-11-14,-34.0
2020-11-15,-34.0
2020-11-16,-34.0
2020-11-17,-30.5
2020-11-18,-27.0
2020-11-19,-28.0
2020-11-20,-28.0
2020-11-21,-28.0
2020-11-22,-28.0
2020-11-23,-29.0
2020-11-24,-29.0
2020-11-25,-29.0
2020-11-26,-29.0
2020-11-27,-29.0
2020-11-28,-29.0
2020-11-29,-29.0
2020-11-30,-30.0
2020-12-01,-30.0
2020-12-02,-30.0
2020-12-03,-29.5
2020-12-04,-25.0
2020-12-05,-9.0
2020-12-06,3.0
2020-12-07,3.5
2020-12-08,8.0
2020-12-09,13.5
2020-12-10,16.0
2020-12-11,17.0
2020-12-12,16.0
2020-12-13,15.0
2020-12-14,14.0
2020-12-15,13.0
2020-12-16,12.0
2020-12-17,11.0
2020-12-18,10.0
2020-12-19,9.0
2020-12-20,8.0
2020-12-21,7.0
2020-12-22,6.0
2020-12-23,5.0
2020-12-24,4.0
2020-12-25,6.0
2020-12-26,10.0
2020-12-27,19.5
2020-12-28,27.0
2020-12-29,27.0
2020-12-30,30.5
2020-12-31,34.0
2021-01-01,34.0
2021-01-02,34.0
2021-01-03,34.0
2021-01-04,34.0
2021-01-05,34.0
2021-01-06,34.0
2021-01-07,34.0
2021-01-08,34.0
2021-01-09,34.0
2021-01-10,34.0
2021-01-11,34.0
2021-01-12,34.0
2021-01-13,34.0
2021-01-14,34.0
2021-01-15,34.0
2021-01-16,34.0
2021-01-17,34.0
2021-01-18,34.0
2021-01-19,34.0
2021-01-20,34.0
2021-01-21,34.0
2021-01-22,34.0
2021-01-23,34.0
2021-01-24,34.0
2021-01-25,34.0
2021-01-26,34.0
2021-01-27,34.0
2021-01-28,34.0
2021-01-29,34.0
2021-01-30,34.0
2021-01-31,34.0
2021-02-01,34.0
2021-02-02,34.0
2021-02-03,34.0
2021-02-04,34.0
2021-02-05,34.0
2021-02-06,34.0
2021-02-07,34.0
2021-02-08,34.0
2021-02-09,34.0
2021-02-10,34.0
2021-02-11,34.0
2021-02-12,34.0
2021-02-13,34.0
2021-02-14,34.0
2021-02-15,34.0
2021-02-16,34.0
2021-02-17,34.0
2021-02-18,34.0
2021-02-19,34.0
2021-02-20,34.0
2021-02-21,34.0
2021-02-22,34.0
2021-02-23,34.0
2021-02-24,34.0
2021-02-25,34.0
2021-02-26,34.0
2021-02-27,34.0
2021-02-28,34.0
2021-03-01,34.0
2021-03-02,34.0
2021-03-03,34.0
2021-03-04,34.0
2021-03-05,34.0
2021-03-06,34.0
2021-03-07,34.0
2021-03-08,34.0
2021-03-09,34.0
2021-03-10,34.0
2021-03-11,33.0
2021-03-12,32.0
2021-03-13,31.0
2021-03-14,30.0
2021-03-15,29.0
2021-03-16,28.0
2021-03-17,27.0
2021-03-18,26.0
2021-03-19,25.0
2021-03-20,24.0
2021-03-21,23.0
2021-03-22,22.0
2021-03-23,21.0
2021-03-24,20.0
2021-03-25,19.0
2021-03-26,18.0
2021-03-27,17.0
2021-03-28,16.0
2021-03-29,15.0
2021-03-30,14.0
2021-03-31,13.0
2021-04-01,12.0
2021-04-02,11.0
2021-04-03,10.0
2021-04-04,9.0
2021-04-05,8.0
2021-04-06,7.0
2021-04-07,6.0
2021-04-08,5.0
2021-04-09,4.0
2021-04-10,3.0
2021-04-11,2.0
2021-04-12,1.0
2021-04-13,0.0
2021-04-14,-1.0
