i_covid,j_mob,lag_days,DATE
0,0,0,2021-12-17
1,0,-1,2021-12-18
2,0,-2,2021-12-19
3,0,-3,2021-12-20
4,1,-3,2021-12-21
5,2,-3,2021-12-22
5,3,-2,2021-12-22
5,4,-1,2021-12-22
5,5,0,2021-12-22
5,6,1,2021-12-22
5,7,2,2021-12-22
6,8,2,2021-12-23
7,9,2,2021-12-24
8,10,2,2021-12-25
9,10,1,2021-12-26
10,10,0,2021-12-27
11,10,-1,2021-12-28
12,10,-2,2021-12-29
13,10,-3,2021-12-30
14,10,-4,2021-12-31
15,10,-5,2022-01-01
16,10,-6,2022-01-02
17,10,-7,2022-01-03
18,10,-8,2022-01-04
19,10,-9,2022-01-05
20,10,-10,2022-01-06
21,10,-11,2022-01-07
22,10,-12,2022-01-08
23,10,-13,2022-01-09
24,10,-14,2022-01-10
25,10,-15,2022-01-11
26,10,-16,2022-01-12
27,10,-17,2022-01-13
28,10,-18,2022-01-14
29,10,-19,2022-01-15
30,10,-20,2022-01-16
31,11,-20,2022-01-17
32,12,-20,2022-01-18
33,13,-20,2022-01-19
34,14,-20,2022-01-20
35,15,-20,2022-01-21
36,16,-20,2022-01-22
37,17,-20,2022-01-23
38,18,-20,2022-01-24
39,19,-20,2022-01-25
40,20,-20,2022-01-26
41,21,-20,2022-01-27
42,22,-20,2022-01-28
43,23,-20,2022-01-29
44,24,-20,2022-01-30
45,25,-20,2022-01-31
46,26,-20,2022-02-01
47,27,-20,2022-02-02
48,28,-20,2022-02-03
49,29,-20,2022-02-04
50,30,-20,2022-02-05
51,31,-20,2022-02-06
52,32,-20,2022-02-07
53,33,-20,2022-02-08
54,34,-20,2022-02-09
55,35,-20,2022-02-10
56,36,-20,2022-02-11
57,37,-20,2022-02-12
58,38,-20,2022-02-13
59,39,-20,2022-02-14
60,40,-20,2022-02-15
61,41,-20,2022-02-16
62,42,-20,2022-02-17
63,43,-20,2022-02-18
64,44,-20,2022-02-19
65,45,-20,2022-02-20
66,46,-20,2022-02-21
67,47,-20,2022-02-22
67,48,-19,2022-02-22
67,49,-18,2022-02-22
67,50,-17,2022-02-22
67,51,-16,2022-02-22
67,52,-15,2022-02-22
67,53,-14,2022-02-22
67,54,-13,2022-02-22
67,55,-12,2022-02-22
67,56,-11,2022-02-22
67,57,-10,2022-02-22
67,58,-9,2022-02-22
67,59,-8,2022-02-22
67,60,-7,2022-02-22
67,61,-6,2022-02-22
67,62,-5,2022-02-22
67,63,-4,2022-02-22
67,64,-3,2022-02-22
67,65,-2,2022-02-22
67,66,-1,2022-02-22
67,67,0,2022-02-22
67,68,1,2022-02-22
67,69,2,2022-02-22
67,70,3,2022-02-22
67,71,4,2022-02-22
67,72,5,2022-02-22
67,73,6,2022-02-22
67,74,7,2022-02-22
67,75,8,2022-02-22
67,76,9,2022-02-22
67,77,10,2022-02-22
67,78,11,2022-02-22
67,79,12,2022-02-22
67,80,13,2022-02-22
67,81,14,2022-02-22
67,82,15,2022-02-22
68,83,15,2022-02-23
69,83,14,2022-02-24
70,84,14,2022-02-25
71,85,14,2022-02-26
72,86,14,2022-02-27
73,87,14,2022-02-28
74,88,14,2022-03-01
75,88,13,2022-03-02
76,89,13,2022-03-03
77,89,12,2022-03-04
78,89,11,2022-03-05
79,89,10,2022-03-06
80,89,9,2022-03-07
81,89,8,2022-03-08
82,89,7,2022-03-09
83,89,6,2022-03-10
84,89,5,2022-03-11
85,89,4,2022-03-12
86,89,3,2022-03-13
87,89,2,2022-03-14
88,89,1,2022-03-15
89,89,0,2022-03-16
90,89,-1,2022-03-17
91,89,-2,2022-03-18
92,89,-3,2022-03-19
93,89,-4,2022-03-20
94,89,-5,2022-03-21
95,89,-6,2022-03-22
96,89,-7,2022-03-23
97,89,-8,2022-03-24
98,89,-9,2022-03-25
99,89,-10,2022-03-26
100,90,-10,2022-03-27
101,91,-10,2022-03-28
102,92,-10,2022-03-29
103,93,-10,2022-03-30
103,94,-9,2022-03-30
104,95,-9,2022-03-31
105,96,-9,2022-04-01
105,97,-8,2022-04-01
106,98,-8,2022-04-02
106,99,-7,2022-04-02
107,100,-7,2022-04-03
107,101,-6,2022-04-03
107,102,-5,2022-04-03
108,103,-5,2022-04-04
108,104,-4,2022-04-04
108,105,-3,2022-04-04
108,106,-2,2022-04-04
109,107,-2,2022-04-05
110,108,-2,2022-04-06
111,109,-2,2022-04-07
112,109,-3,2022-04-08
113,109,-4,2022-04-09
114,109,-5,2022-04-10
115,109,-6,2022-04-11
116,109,-7,2022-04-12
117,109,-8,2022-04-13
118,109,-9,2022-04-14
119,109,-10,2022-04-15
120,109,-11,2022-04-16
121,109,-12,2022-04-17
122,109,-13,2022-04-18
123,109,-14,2022-04-19
124,109,-15,2022-04-20
125,109,-16,2022-04-21
126,109,-17,2022-04-22
127,109,-18,2022-04-23
