i_covid,j_mob,lag_days,DATE
0,0,0,2020-01-22
1,1,0,2020-01-23
2,2,0,2020-01-24
3,3,0,2020-01-25
4,4,0,2020-01-26
5,5,0,2020-01-27
6,6,0,2020-01-28
7,7,0,2020-01-29
8,8,0,2020-01-30
9,9,0,2020-01-31
10,10,0,2020-02-01
11,11,0,2020-02-02
12,12,0,2020-02-03
13,13,0,2020-02-04
14,14,0,2020-02-05
15,15,0,2020-02-06
16,16,0,2020-02-07
17,17,0,2020-02-08
18,18,0,2020-02-09
19,19,0,2020-02-10
20,20,0,2020-02-11
21,21,0,2020-02-12
22,22,0,2020-02-13
23,23,0,2020-02-14
24,24,0,2020-02-15
25,25,0,2020-02-16
26,26,0,2020-02-17
27,27,0,2020-02-18
28,28,0,2020-02-19
29,29,0,2020-02-20
30,30,0,2020-02-21
31,31,0,2020-02-22
32,31,-1,2020-02-23
33,31,-2,2020-02-24
34,31,-3,2020-02-25
35,31,-4,2020-02-26
36,31,-5,2020-02-27
37,31,-6,2020-02-28
38,31,-7,2020-02-29
39,31,-8,2020-03-01
40,31,-9,2020-03-02
41,31,-10,2020-03-03
42,32,-10,2020-03-04
43,33,-10,2020-03-05
44,34,-10,2020-03-06
45,35,-10,2020-03-07
46,36,-10,2020-03-08
47,37,-10,2020-03-09
48,38,-10,2020-03-10
49,39,-10,2020-03-11
50,40,-10,2020-03-12
51,41,-10,2020-03-13
52,42,-10,2020-03-14
53,43,-10,2020-03-15
54,44,-10,2020-03-16
55,45,-10,2020-03-17
56,46,-10,2020-03-18
57,47,-10,2020-03-19
58,48,-10,2020-03-20
59,49,-10,2020-03-21
60,50,-10,2020-03-22
61,51,-10,2020-03-23
62,52,-10,2020-03-24
63,53,-10,2020-03-25
64,54,-10,2020-03-26
65,55,-10,2020-03-27
66,56,-10,2020-03-28
66,57,-9,2020-03-28
66,58,-8,2020-03-28
66,59,-7,2020-03-28
67,60,-7,2020-03-29
68,61,-7,2020-03-30
69,61,-8,2020-03-31
70,61,-9,2020-04-01
71,62,-9,2020-04-02
72,63,-9,2020-04-03
73,64,-9,2020-04-04
74,65,-9,2020-04-05
75,66,-9,2020-04-06
76,67,-9,2020-04-07
77,68,-9,2020-04-08
78,69,-9,2020-04-09
79,70,-9,2020-04-10
80,71,-9,2020-04-11
80,72,-8,2020-04-11
80,73,-7,2020-04-11
80,74,-6,2020-04-11
80,75,-5,2020-04-11
80,76,-4,2020-04-11
80,77,-3,2020-04-11
80,78,-2,2020-04-11
80,79,-1,2020-04-11
80,80,0,2020-04-11
80,81,1,2020-04-11
80,82,2,2020-04-11
80,83,3,2020-04-11
81,84,3,2020-04-12
82,85,3,2020-04-13
83,86,3,2020-04-14
84,87,3,2020-04-15
84,88,4,2020-04-15
84,89,5,2020-04-15
84,90,6,2020-04-15
84,91,7,2020-04-15
84,92,8,2020-04-15
84,93,9,2020-04-15
85,94,9,2020-04-16
86,95,9,2020-04-17
87,96,9,2020-04-18
88,97,9,2020-04-19
89,98,9,2020-04-20
90,99,9,2020-04-21
90,100,10,2020-04-21
90,101,11,2020-04-21
90,102,12,2020-04-21
90,103,13,2020-04-21
91,104,13,2020-04-22
92,104,12,2020-04-23
93,104,11,2020-04-24
94,105,11,2020-04-25
95,106,11,2020-04-26
96,107,11,2020-04-27
97,108,11,2020-04-28
98,109,11,2020-04-29
99,110,11,2020-04-30
100,111,11,2020-05-01
101,112,11,2020-05-02
102,113,11,2020-05-03
103,114,11,2020-05-04
104,115,11,2020-05-05
105,116,11,2020-05-06
106,117,11,2020-05-07
107,118,11,2020-05-08
108,119,11,2020-05-09
109,120,11,2020-05-10
110,121,11,2020-05-11
111,122,11,2020-05-12
112,123,11,2020-05-13
113,124,11,2020-05-14
114,125,11,2020-05-15
115,126,11,2020-05-16
116,127,11,2020-05-17
117,127,10,2020-05-18
118,127,9,2020-05-19
119,127,8,2020-05-20
120,127,7,2020-05-21
121,127,6,2020-05-22
122,127,5,2020-05-23
123,127,4,2020-05-24
124,127,3,2020-05-25
125,127,2,2020-05-26
126,127,1,2020-05-27
127,127,0,2020-05-28
128,127,-1,2020-05-29
129,127,-2,2020-05-30
130,127,-3,2020-05-31
131,127,-4,2020-06-01
132,127,-5,2020-06-02
133,127,-6,2020-06-03
134,127,-7,2020-06-04
135,127,-8,2020-06-05
136,127,-9,2020-06-06
137,127,-10,2020-06-07
138,127,-11,2020-06-08
139,127,-12,2020-06-09
140,127,-13,2020-06-10
141,127,-14,2020-06-11
142,127,-15,2020-06-12
143,127,-16,2020-06-13
144,127,-17,2020-06-14
145,127,-18,2020-06-15
146,127,-19,2020-06-16
147,127,-20,2020-06-17
148,127,-21,2020-06-18
149,127,-22,2020-06-19
150,127,-23,2020-06-20
151,127,-24,2020-06-21
152,127,-25,2020-06-22
153,127,-26,2020-06-23
154,127,-27,2020-06-24
155,128,-27,2020-06-25
156,129,-27,2020-06-26
157,130,-27,2020-06-27
157,131,-26,2020-06-27
157,132,-25,2020-06-27
157,133,-24,2020-06-27
157,134,-23,2020-06-27
157,135,-22,2020-06-27
158,136,-22,2020-06-28
159,137,-22,2020-06-29
160,138,-22,2020-06-30
161,139,-22,2020-07-01
162,140,-22,2020-07-02
163,141,-22,2020-07-03
164,142,-22,2020-07-04
165,143,-22,2020-07-05
166,144,-22,2020-07-06
